Date,Open,Close,,
2018-06-16 20:00:00,6497.97,6526.17,16,0
2018-06-16 19:00:00,6509.68,6497.97,16,0
2018-06-16 18:00:00,6527.24,6509.68,16,0
2018-06-16 17:00:00,6520.67,6527.24,16,0
2018-06-16 16:00:00,6363.82,6520.67,16,0
2018-06-16 15:00:00,6415.11,6363.82,16,0
2018-06-16 14:00:00,6405.63,6415.11,16,0
2018-06-16 13:00:00,6437.22,6405.63,16,0
2018-06-16 12:00:00,6455,6437.22,16,0
2018-06-16 11:00:00,6470.7,6455,16,0
2018-06-16 10:00:00,6461.99,6470.7,16,0
2018-06-16 09:00:00,6453,6461.99,16,0
2018-06-16 08:00:00,6458.99,6453,16,0
2018-06-16 07:00:00,6462.39,6458.99,16,0
2018-06-16 06:00:00,6459.72,6462.39,16,0
2018-06-16 05:00:00,6430,6459.72,16,0
2018-06-16 04:00:00,6418.21,6430,16,0
2018-06-16 03:00:00,6454.57,6418.21,16,0
2018-06-16 02:00:00,6448.52,6454.57,16,0
2018-06-16 01:00:00,6397,6448.52,16,0
2018-06-16 00:00:00,6391.22,6397,16,0
2018-06-15 23:00:00,6402.5,6391.22,15,1
2018-06-15 22:00:00,6475.89,6402.5,15,0
2018-06-15 21:00:00,6499.3,6475.89,15,0
2018-06-15 20:00:00,6550.42,6499.3,15,0
2018-06-15 19:00:00,6553.76,6550.42,15,0
2018-06-15 18:00:00,6543.01,6553.76,15,0
2018-06-15 17:00:00,6568.02,6543.01,15,0
2018-06-15 16:00:00,6551.4,6568.02,15,0
2018-06-15 15:00:00,6540.01,6551.4,15,0
2018-06-15 14:00:00,6508.09,6540.01,15,0
2018-06-15 13:00:00,6504.99,6508.09,15,0
2018-06-15 12:00:00,6534.25,6504.99,15,0
2018-06-15 11:00:00,6583.93,6534.25,15,0
2018-06-15 10:00:00,6584.31,6583.93,15,0
2018-06-15 09:00:00,6589.01,6584.31,15,0
2018-06-15 08:00:00,6581,6589.01,15,0
2018-06-15 07:00:00,6578.06,6581,15,0
2018-06-15 06:00:00,6576.01,6578.06,15,0
2018-06-15 05:00:00,6565,6576.01,15,0
2018-06-15 04:00:00,6600.12,6565,15,0
2018-06-15 03:00:00,6592.93,6600.12,15,0
2018-06-15 02:00:00,6592.42,6592.93,15,0
2018-06-15 01:00:00,6620,6592.42,15,0
2018-06-15 00:00:00,6638.49,6620,15,0
2018-06-14 23:00:00,6621.8,6638.49,14,1
2018-06-14 22:00:00,6658,6621.8,14,0
2018-06-14 21:00:00,6662.51,6658,14,0
2018-06-14 20:00:00,6651.99,6662.51,14,0
2018-06-14 19:00:00,6650,6651.99,14,0
2018-06-14 18:00:00,6612.18,6650,14,0
2018-06-14 17:00:00,6526.22,6612.18,14,0
2018-06-14 16:00:00,6340,6526.22,14,0
2018-06-14 15:00:00,6414.98,6340,14,0
2018-06-14 14:00:00,6375.53,6414.98,14,0
2018-06-14 13:00:00,6479.14,6375.53,14,0
2018-06-14 12:00:00,6525.01,6479.14,14,0
2018-06-14 11:00:00,6486.82,6525.01,14,0
2018-06-14 10:00:00,6494.45,6486.82,14,0
2018-06-14 09:00:00,6485,6494.45,14,0
2018-06-14 08:00:00,6475,6485,14,0
2018-06-14 07:00:00,6481.99,6475,14,0
2018-06-14 06:00:00,6475.77,6481.99,14,0
2018-06-14 05:00:00,6475.17,6475.77,14,0
2018-06-14 04:00:00,6495.46,6475.17,14,0
2018-06-14 03:00:00,6473.3,6495.46,14,0
2018-06-14 02:00:00,6317,6473.3,14,0
2018-06-14 01:00:00,6280.33,6317,14,0
2018-06-14 00:00:00,6302.32,6280.33,14,0
2018-06-13 23:00:00,6329.26,6302.32,13,1
2018-06-13 22:00:00,6277.69,6329.26,13,0
2018-06-13 21:00:00,6252.77,6277.69,13,0
2018-06-13 20:00:00,6280.99,6252.77,13,0
2018-06-13 19:00:00,6327.01,6280.99,13,0
2018-06-13 18:00:00,6324.05,6327.01,13,0
2018-06-13 17:00:00,6280.19,6324.05,13,0
2018-06-13 16:00:00,6376,6280.19,13,0
2018-06-13 15:00:00,6432.95,6376,13,0
2018-06-13 14:00:00,6455.13,6432.95,13,0
2018-06-13 13:00:00,6462.06,6455.13,13,0
2018-06-13 12:00:00,6452.01,6462.06,13,0
2018-06-13 11:00:00,6437.9,6452.01,13,0
2018-06-13 10:00:00,6406.01,6437.9,13,0
2018-06-13 09:00:00,6529.11,6406.01,13,0
2018-06-13 08:00:00,6542.84,6529.11,13,0
2018-06-13 07:00:00,6574.74,6542.84,13,0
2018-06-13 06:00:00,6567.11,6574.74,13,0
2018-06-13 05:00:00,6589.45,6567.11,13,0
2018-06-13 04:00:00,6554.49,6589.45,13,0
2018-06-13 03:00:00,6559.01,6554.49,13,0
2018-06-13 02:00:00,6556.39,6559.01,13,0
2018-06-13 01:00:00,6555.01,6556.39,13,0
2018-06-13 00:00:00,6544.99,6555.01,13,0
2018-06-12 23:00:00,6535,6544.99,12,1
2018-06-12 22:00:00,6543.81,6535,12,0
2018-06-12 21:00:00,6537.54,6543.81,12,0
2018-06-12 20:00:00,6510.01,6537.54,12,0
2018-06-12 19:00:00,6686.39,6510.01,12,0
2018-06-12 18:00:00,6725.38,6686.39,12,0
2018-06-12 17:00:00,6740.63,6725.38,12,0
2018-06-12 16:00:00,6764.84,6740.63,12,0
2018-06-12 15:00:00,6760,6764.84,12,0
2018-06-12 14:00:00,6739.99,6760,12,0
2018-06-12 13:00:00,6732.89,6739.99,12,0
2018-06-12 12:00:00,6840,6732.89,12,0
2018-06-12 11:00:00,6845.3,6840,12,0
2018-06-12 10:00:00,6847.09,6845.3,12,0
2018-06-12 09:00:00,6852.77,6847.09,12,0
2018-06-12 08:00:00,6831.37,6852.77,12,0
2018-06-12 07:00:00,6838.2,6831.37,12,0
2018-06-12 06:00:00,6844.4,6838.2,12,0
2018-06-12 05:00:00,6829.01,6844.4,12,0
2018-06-12 04:00:00,6817.85,6829.01,12,0
2018-06-12 03:00:00,6868.43,6817.85,12,0
2018-06-12 02:00:00,6858,6868.43,12,0
2018-06-12 01:00:00,6849,6858,12,0
2018-06-12 00:00:00,6881,6849,12,0
2018-06-11 23:00:00,6789.98,6881,11,1
2018-06-11 22:00:00,6773.99,6789.98,11,0
2018-06-11 21:00:00,6761.54,6773.99,11,0
2018-06-11 20:00:00,6765.01,6761.54,11,0
2018-06-11 19:00:00,6755,6765.01,11,0
2018-06-11 18:00:00,6721.81,6755,11,0
2018-06-11 17:00:00,6738.01,6721.81,11,0
2018-06-11 16:00:00,6714.99,6738.01,11,0
2018-06-11 15:00:00,6719.99,6714.99,11,0
2018-06-11 14:00:00,6753.52,6719.99,11,0
2018-06-11 13:00:00,6767.29,6753.52,11,0
2018-06-11 12:00:00,6788.8,6767.29,11,0
2018-06-11 11:00:00,6773.74,6788.8,11,0
2018-06-11 10:00:00,6772.8,6773.74,11,0
2018-06-11 09:00:00,6796.57,6772.8,11,0
2018-06-11 08:00:00,6669.99,6796.57,11,0
2018-06-11 07:00:00,6770.42,6669.99,11,0
2018-06-11 06:00:00,6755.01,6770.42,11,0
2018-06-11 05:00:00,6802.05,6755.01,11,0
2018-06-11 04:00:00,6785.37,6802.05,11,0
2018-06-11 03:00:00,6795.79,6785.37,11,0
2018-06-11 02:00:00,6763.43,6795.79,11,0
2018-06-11 01:00:00,6730.39,6763.43,11,0
2018-06-11 00:00:00,6770.31,6730.39,11,0
2018-06-10 23:00:00,6687.99,6770.31,10,1
2018-06-10 22:00:00,6758.78,6687.99,10,0
2018-06-10 21:00:00,6719.86,6758.78,10,0
2018-06-10 20:00:00,6868,6719.86,10,0
2018-06-10 19:00:00,6759.02,6868,10,0
2018-06-10 18:00:00,6755.94,6759.02,10,0
2018-06-10 17:00:00,7208.01,6755.94,10,0
2018-06-10 16:00:00,7236.99,7208.01,10,0
2018-06-10 15:00:00,7240.01,7236.99,10,0
2018-06-10 14:00:00,7279.11,7240.01,10,0
2018-06-10 13:00:00,7237.81,7279.11,10,0
2018-06-10 12:00:00,7234.99,7237.81,10,0
